#,Folio,Programa,Tipo,Área,Carrera,Coordinador que inscribe,Curso de Inducción,Empresa,Domicilio
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AVENIDA SAN CLAUDIO S/N COL: SAN MANUEL CP: 72560
Puebla , Puebla
(222) 9018895 EXT
(222) 2663100 EXT
jmrp@ece.buap.mx"
,,,,,,,,,
236,150133,DESARROLLO DE SISTEMAS EMBEBIDOS PARA LA DIFUSIÓN DE LOS PROGRAMAS DE ESTUDIO DE LA FACULTAD DE COMPUTACIÓN,Serv Social,LABORATORIO DE INVESTIGACIÓN EN SISTEMAS DIGITALES Y ENERGÍAS RENOVABLES,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR, CIUDAD UINIVERSITARIA S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(22) 229550 EXT 2853
(22) 2295500 EXT 2853
miguel.hurtado@correo.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR, CIUDAD UINIVERSITARIA S/N COL: SAN MANUEL CP: 72000
Puebla , Puebla
(22) 229550 EXT 2853
(22) 2295500 EXT 2853
miguel.hurtado@correo.buap.mx"
,,,,,,,,,
237,150148,"PROYECTO DE DIVULGACIÓN Y DIFUSIÓN DE LAS HUMANIDADES, CIENCIA, TECNOLOGÍA E INNOVACIÓN.",Serv Social,DIRECCIÓN GENERAL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,CONSEJO DE CIENCIA Y TECNOLOGÍA DEL ESTADO DE PUEBLA,"PRIVADA B PONIENTE DE LA 16 DE SEPTIEMBRE4511 Col:HUXOTITLA CP: 72160
Puebla,Puebla
(222)2497622 Ext: 111
(222)2497622 Ext: 101
MIGUEL.REYESF@PUEBLA.GOB.MX DANIELA.CONCYTEP@GMAIL.COM"
238,150177,PROGRAMACIÓN Y MANTENIMIENTO PARA SIS BUAP V2,Serv Social,COORDINACIÓN GENERAL DE SISTEMAS,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,TESORERIA GENERAL,"3 ORIENTE 1008 COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3232
(222) 2 EXT 2
marunid@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,TESORERIA GENERAL,"3 ORIENTE 1008 COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3232
(222) 2 EXT 2
marunid@gmail.com"
,,,,,,,,,
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,TESORERIA GENERAL,"3 ORIENTE 1008 COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3232
(222) 2 EXT 2
marunid@gmail.com"
,,,,,,,,,
239,150182,SOPORTE EN LA ELABORACIÓN DE MATERIAL ACADÉMICO,Serv Social,FACULTAD DE INGENIERÍA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"BOULEVARD VALSEQUILLO CIUDAD UNIVERSITARIA SIN NÚMERO COL: UNIVERSIDADES CP: 72592
Puebla , Puebla
(222) 2295500 EXT 7617
(222) 2295500 EXT
GABRIELA.YANEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE INGENIERIA,"BOULEVARD VALSEQUILLO CIUDAD UNIVERSITARIA SIN NÚMERO COL: UNIVERSIDADES CP: 72592
Puebla , Puebla
(222) 2295500 EXT 7617
(222) 2295500 EXT
GABRIELA.YANEZ@CORREO.BUAP.MX"
,,,,,,,,,
240,150198,PREVENCIÓN Y CONTROL DE LA CONTAMINACIÓN VISUAL,Serv Social,DIRECCIÓN GENERAL DE CONTAMINACIÓN VISUAL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,"SECRETARÍA DE DESARROLLO RURAL, SUSTENTABILIDAD Y ORDENAMIENTO TERRITORIAL","33 SUR 3512 1303 Col: EL VERGEL CP:
Puebla,Puebla
(222)7775600 Ext: 5658/5656
()7775600 Ext: 5656
CAPITALHUMANO_SSAOT@YAHOO.COM.MX"
241,150201,PROYECTOS DE DESARROLLO TÉCNOLÓGICO,Serv Social,CENTRO DE EMPRENDEDORES DE EDUCACION MEDIA SUPERIOR Y DE PROTIPOS DEL CETIS 67,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,CENTRO DE ESTUDIOS TECNOLÓGICOS NO. 67,"AV. HIDALGO Col: CP:
Puebla,San Pedro Cholula
(222)2472659 Ext:
(222)2476872 Ext:
CETIS067.VINCULACION@DGETI.SEMS.GOB.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,CENTRO DE ESTUDIOS TECNOLÓGICOS NO. 67,"AV. HIDALGO Col: CP:
Puebla,San Pedro Cholula
(222)2472659 Ext:
(222)2476872 Ext:
CETIS067.VINCULACION@DGETI.SEMS.GOB.MX"
,,,,,,,,,
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,CENTRO DE ESTUDIOS TECNOLÓGICOS NO. 67,"AV. HIDALGO Col: CP:
Puebla,San Pedro Cholula
(222)2472659 Ext:
(222)2476872 Ext:
CETIS067.VINCULACION@DGETI.SEMS.GOB.MX"
,,,,,,,,,
242,150209,AGENDA DE CITAS PARA ASESORIAS A TRAVÉS DEL DESARROLLO DE UNA APLICACIÓN MÓVIL,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR ESQUINA AV. SAN CLAUDIO SN COL: SAN MANUEL CP: 72474
Puebla , Puebla
(1222) 2295500 EXT 7204
(122) 229550 EXT 7204
tt_omar@hotmail.com"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR ESQUINA AV. SAN CLAUDIO SN COL: SAN MANUEL CP: 72474
Puebla , Puebla
(1222) 2295500 EXT 7204
(122) 229550 EXT 7204
tt_omar@hotmail.com"
,,,,,,,,,
243,150237,MONITOREO Y EVALUACIÓN DE EMISIONES CONTAMINANTES,Serv Social,DIRECCIÓN DE GESTIÓN DE CALIDAD DEL AIRE,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,"SECRETARÍA DE DESARROLLO RURAL, SUSTENTABILIDAD Y ORDENAMIENTO TERRITORIAL","33 SUR 3512 1303 Col: EL VERGEL CP:
Puebla,Puebla
(222)7775600 Ext: 5658/5656
()7775600 Ext: 5656
CAPITALHUMANO_SSAOT@YAHOO.COM.MX"
244,150245,DIVULGACIÓN DE FISICA DE PARTÍCULAS Y PROYECTOS DE COLABORACIÓN INTERNACIONAL,Serv Social,FCFM-BUAP,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AV SAN CLAUDIO SN CIUDAD UNIVERSITARIA EMA 3 -230 COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3670
(222) 2295500 EXT 3670
irais.bautista@fcfm.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.FISICO MATEMATICAS,"AV SAN CLAUDIO SN CIUDAD UNIVERSITARIA EMA 3 -230 COL: SAN MANUEL CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3670
(222) 2295500 EXT 3670
irais.bautista@fcfm.buap.mx"
,,,,,,,,,
245,150251,ATENCIÓN A USUARIOS EN LA SUBDIRECCIÓN DE SERVICIOS AL PÚBLICO BIBLIOTECARIO,Serv Social,SUBDIRECCIÓN DE SERVICIOS AL PÚBLICO DE LA D.G.B. DE LA BUAP.,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION GENERAL DE BIBLIOTECAS,"AV. SAN CLUADIO Y 18 SUR. N/A COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 295500 EXT 7508
(222) 2295500 EXT 7505
elia.alvarez@dbg.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,DIRECCION GENERAL DE BIBLIOTECAS,"AV. SAN CLUADIO Y 18 SUR. N/A COL: SAN MANUEL CP: 72570
Puebla , Puebla
(222) 295500 EXT 7508
(222) 2295500 EXT 7505
elia.alvarez@dbg.buap.mx"
,,,,,,,,,
246,150279,METODOLOGÍA ESTADÍSTICA PARA DETERMINAR LA CAPACIDAD DE VACUNAS EVALUANDO LOS NIVELES DE ANTICUERPOS,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO EDIFICIO 104C 303C COL: SAN MANUEL CP: 72570
Puebla , Puebla
(22) 2295500 EXT 5673
(22) 2295500 EXT 5673
beatriz.bernabe@gmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AVE. SN. CLAUDIO EDIFICIO 104C 303C COL: SAN MANUEL CP: 72570
Puebla , Puebla
(22) 2295500 EXT 5673
(22) 2295500 EXT 5673
beatriz.bernabe@gmail.com"
,,,,,,,,,
247,150297,ANALISIS DE IMAGENES DIGITALES PARA BIOMETRIA Y APLICACIONES MEDICAS,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO 14 SUR SN COL: SAN MANUEL CP: 72570
Otro , Puebla
(222) 2295500 EXT 166
(222) 2295672 EXT
aolvera@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO 14 SUR SN COL: SAN MANUEL CP: 72570
Otro , Puebla
(222) 2295500 EXT 166
(222) 2295672 EXT
aolvera@cs.buap.mx"
,,,,,,,,,
248,150360,TALLER DE HABILIDADES DIGITALES,Serv Social,OFICINAS CENTRALES DEL IEDEP,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INSTITUTO DE EDUCACIÓN DIGITAL DEL ESTADO DE PUEBLA,"13 PONIENTE2904 Col: LA PAZ CP: 72160
Puebla,Puebla
(222)6200300 Ext: 1163
(1800)8384818 Ext: 0
SERVICIO.SOCIAL@IEDEP.EDU.MX"
249,150374,SISTEMA DE INFORMACIÓN DEL PATRIMONIO MONUMENTAL DE LA CIUDAD DE PUEBLA,Serv Social,PROGRAMA DE ESTUDIOS SOCIOTERRITORIALES DEL INSTITUTO DE CS. .SOC. Y HUMANIDADES,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INST.DE CS.SOCIALES Y HUMANIDADES,"2 ORIENTE 409 ALTOS COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3281
(222) 3110305 EXT
JUANFRANCISCO337@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INST.DE CS.SOCIALES Y HUMANIDADES,"2 ORIENTE 409 ALTOS COL: CENTRO CP: 72000
Puebla , Puebla
(222) 2295500 EXT 3281
(222) 3110305 EXT
JUANFRANCISCO337@GMAIL.COM"
,,,,,,,,,
250,150395,ELABORACION Y APLICACIÓN DEL PROGRAMA DE MANTENIMIENTO A TECNOLOGIAS DE LA INFORMACIÓN.,Serv Social,SISTEMAS,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,"CRUZ ROJA MEXICANA, CIUDAD DE PUEBLA. PUEBLA.","AVENIDA 20 ORIENTE1002 Col: COLONIA SAN FRANCISCO CP: 72000
Puebla,Puebla
(222)2137700 Ext: 321
(4522)23214004 Ext: 0
CAPACITACIONLOCAL@CRUZROJAPUEBLA.ORG"
251,150399,USO Y MANEJO DE SISTEMAS WEB PARA PROCESOS ADMINISTRATIVOS Y EDUCATIVOS,Serv Social,LABORATORIOS DE INFORMÁTICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.LIC.BENITO JUAREZ GARCIA,"BLVD 14 SUR Y CIRCUITO JUAN PABLO II S/N COL: JARDÍNES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 2451
() EXT
VICTOR.MILA@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.LIC.BENITO JUAREZ GARCIA,"BLVD 14 SUR Y CIRCUITO JUAN PABLO II S/N COL: JARDÍNES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 2451
() EXT
VICTOR.MILA@CORREO.BUAP.MX"
,,,,,,,,,
252,150428,HERRAMIENTAS PARA LA ADMINISTRACIÓN DE PROYECTOS TI,Serv Social,MODALIDAD VIRTUAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y av. sn. claudio ciudad universitaria COL: San Manuel CP: 72000
Puebla , Puebla
(12) 222295500 EXT 7223
(12) 222295500 EXT 5673
ambrosio@cs.buap.mx"
253,150448,"HERRAMIENTAS QUALITY ASSURANCE (QA), PARA LA ADMINISTRACIÓN DE PROYECTOS DE TI",Serv Social,MODALIDAD VIRTUAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y av. sn. claudio ciudad universitaria COL: San Manuel CP: 72000
Puebla , Puebla
(12) 222295500 EXT 7223
(12) 222295500 EXT 5673
ambrosio@cs.buap.mx"
254,150462,CREACIÓN DE HERRAMIENTAS DIGITALES PARA EL PROCESO DE ENSEÑANZA-APRENDIZAJE EN LA ASIGNATURA DE LÓGICA,Serv Social,"PREPARATORIA REGIONAL ""ENRIQUE CABRERA BARROSO""",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.ENRIQUE CABRERA B.TEC.,"19 SUR 1100 COL: BARRIO DE SAN ANTONIO CP: 75486
Tecamachalco , Puebla
(1) 2494222707 EXT
(1) 2494222808 EXT
gabare_04@hotmail.com"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.ENRIQUE CABRERA B.TEC.,"19 SUR 1100 COL: BARRIO DE SAN ANTONIO CP: 75486
Tecamachalco , Puebla
(1) 2494222707 EXT
(1) 2494222808 EXT
gabare_04@hotmail.com"
,,,,,,,,,
255,150486,HERRAMIENTAS DATABASE SECURITY,Serv Social,MODALIDAD VIRTUAL,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y av. sn. claudio ciudad universitaria COL: San Manuel CP: 72000
Puebla , Puebla
(12) 222295500 EXT 7223
(12) 222295500 EXT 5673
ambrosio@cs.buap.mx"
256,150561,CREACIÓN Y ACTUALIZACIÓN DE SISTEMAS EN TIEMPO REAL PARA ACTIVIDADES DE MONITOREO AMBIENTAL EN COMUNIDADES,Serv Social,FACULTAD DE CIENCIAS DE LA ELECTRÓNICA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV. SAN CLAUDIO S/N COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7400
JULIA.CHAVEZ@CORREO.BUAP.MX"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"AV. SAN CLAUDIO S/N COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7400
(222) 2295500 EXT 7400
JULIA.CHAVEZ@CORREO.BUAP.MX"
,,,,,,,,,
257,150574,EDUCACIÓN PARA LA PAZ Y LA NO VIOLENCIA: APORTACIONES INTERDISCIPLINARIAS PARA LA PREVENCIÓN DE LA VIOLENCIA,Serv Social,"CHOLULA, PUEBLA",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INST.DE CS.SOCIALES Y HUMANIDADES,"2 ORIENTE 410 (CASA AMARILLA) COL: CENTRO HISTORICO CP: 72001
Puebla , Puebla
(222) 2295500 EXT 5706
(222) 2295500 EXT 5706
LOUISA33@MAC.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,INST.DE CS.SOCIALES Y HUMANIDADES,"2 ORIENTE 410 (CASA AMARILLA) COL: CENTRO HISTORICO CP: 72001
Puebla , Puebla
(222) 2295500 EXT 5706
(222) 2295500 EXT 5706
LOUISA33@MAC.COM"
,,,,,,,,,
258,150581,USO DE HERRAMIENTAS DIGITALES PARA EL PROCESO DE ENSEÑANZA-APRENDIZAJE DEL INGLÉS COMO LENGUA EXTRANJERA,Serv Social,"FACULTAD DE LENGUAS, BUAP",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE LENGUAS,"24 NORTE 2003 COL: HUMBOLDT CP: 72370
Puebla , Puebla
(1222) 2295500 EXT 5801
(1222) 2295500 EXT 5801
norma-fg@hotmail.com"
259,150586,AUTOMATIZACIÓN DE PROCESOS MEDIANTE EL DESARROLLO DE MINI APLICACIONES EN LA WEB,Serv Social,PREPARATORIA “2 DE OCTUBRE DE 1968” PUEBLA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.2 DE OCTUBRE,"BENITO JUAREZ 52 COL: CONCEPCION GUADALUPE CP: 72450
Puebla , Puebla
(12222) 2400954 EXT 2463
(222) 2400954 EXT 2463
JOSEROSASIBARRA@GMAIL.COM"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,ESC.PREP.2 DE OCTUBRE,"BENITO JUAREZ 52 COL: CONCEPCION GUADALUPE CP: 72450
Puebla , Puebla
(12222) 2400954 EXT 2463
(222) 2400954 EXT 2463
JOSEROSASIBARRA@GMAIL.COM"
,,,,,,,,,
260,150607,APLICACIONES DEL LABORATORIO VIRTUAL DE RECURSOS ABIERTOS EDUCATIVOS PARA LAS CIENCIAS DE LA SALUD,Serv Social,LABORATORIO DE COMPUTACIÓN DE SOFTWARE MULTIMEDIA,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,,,,,
261,150608,"GESTIÓN, COLABORACIÓN Y COMUNICACIÓN DE COMUNIDADES DIGITALES DE PUEBLA",Serv Social,LABORATORIO MULTIMEDIA CUBÍCULO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,,,,,
262,150610,TECNOLOGÍAS INCLUSIVAS PARA DISMINUIR LA BRECHA DIGITAL EN GRUPOS VULNERABLES,Serv Social,LABORATORIO DE COMPUTACIÓN DE SOFTWARE MULTIMEDIA,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,,,,,
263,150615,ANÁLISIS DE DATOS DE FUENTES DE INFORMACIÓN BIOMÉDICAS SOBRE COVID19,Serv Social,"LABORATORIO DE TECNOLOGÍAS PARA LA SALUD, FACULTAD DE CIENCIAS DE LA COMPUTACIÓN",Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AV. SAN CLAUDIO SN COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7205
(222) 2295500 EXT 5672
cperezdecelis@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AV. SAN CLAUDIO SN COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7205
(222) 2295500 EXT 5672
cperezdecelis@cs.buap.mx"
,,,,,,,,,
264,150619,"DISEÑO, DESARROLLO Y PRUEBA DE SISTEMA PARA EL DESARROLLO DE INTERFACES",Serv Social,"ED: FCE4, CUBÍCULO: 219 CU",Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"CU CU COL: San Manuel CP: 72000
Puebla , Puebla
(222) 229 EXT
(222) 229 EXT
ajacinto@ece.buap.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA ELECTRONICA,"CU CU COL: San Manuel CP: 72000
Puebla , Puebla
(222) 229 EXT
(222) 229 EXT
ajacinto@ece.buap.mx"
,,,,,,,,,
265,150622,CAPACITACIÓN TECNOLÓGICA Y CERTIFICACIONES AL ALCANCE DE TODOS,Serv Social,CASA DEL ALUMNO,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR 0 COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7200
(222) 2295672 EXT
CRRLLRZMY@GMAIL.COM"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"AV. SAN CLAUDIO Y 14 SUR 0 COL: CIUDAD UNIVERSITARIA CP: 72570
Puebla , Puebla
(222) 2295500 EXT 7200
(222) 2295672 EXT
CRRLLRZMY@GMAIL.COM"
,,,,,,,,,
266,150661,VOCACIONES CIENTÍFICAS Y TECNOLÓGICAS PARA APOYAR PERFILES STEAM EN GRUPOS VULNERABLES Y DE ZONAS RURALES,Serv Social,LABORATORIO MULTIMEDIA CUBÍCULO,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 sur y esq. san claudio s/n COL: San Manuel CP: 72560
Puebla , Puebla
(222) 2295500 EXT 7224
(222) 2295500 EXT
mceron@cs.buap.mx"
,,,,,,,,,
267,150681,DESARROLLO DE LA INTERFAZ DE COMUNICACIÓN PARA LA TUTORÍA EN LA FCC,Serv Social,COORDINACIÓN DE TUTORES,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AV. SAN CLAUDIO S/N COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 6022225 EXT
(222) 6022225 EXT
lilia_mantilla@yahoo.com.mx"
,,,,,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AV. SAN CLAUDIO S/N COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 6022225 EXT
(222) 6022225 EXT
lilia_mantilla@yahoo.com.mx"
,,,,,,,,,
268,150684,DESARROLLO DE SISTEMAS MULTIPROCESAMIENTO,Serv Social,LABORATORIO DE ROBOTICA MOVIL FCC,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVE. SAN CLAUDIO NINGUNO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
gustavo@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVE. SAN CLAUDIO NINGUNO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
gustavo@cs.buap.mx"
,,,,,,,,,
,,,,,"Ing.en Cs de la Computación (Instituto de Estudios Superiores en Arquitectura y Diseño, A.C.)",Monserrat Marlene Vázquez Morales,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVE. SAN CLAUDIO NINGUNO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
gustavo@cs.buap.mx"
,,,,,,,,,
269,150685,MODELACION COVID,Serv Social,FACULTAD DE CIENCIAS DE LA COMPUTACIÓN LABORATORIO DE ROBOTICA MOVIL,Ciencias de la Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVE. SAN CLAUDIO NINGUNO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
gustavo@cs.buap.mx"
,,,,,Ing Ciencias Computación,ESPINOZA HERNANDEZ NELVA BETZABEL ,--,FACULTAD DE CS.DE LA COMPUTACION,"14 SUR Y AVE. SAN CLAUDIO NINGUNO COL: JARDINES DE SAN MANUEL CP: 72570
Puebla , Puebla
(222) 2295500 EXT
(222) 2295500 EXT
gustavo@cs.buap.mx"
,,,,,,,,,
